4twp	4twp_protein_Repair_1	2v7a_ligand_similar_1	-9.1
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_10	-10.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_100	-7.7
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_101	-9.0
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_102	-9.1
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_103	-9.2
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_104	-8.8
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_105	-8.1
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_106	-8.0
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_107	-7.8
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_108	-8.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_109	-8.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_11	-8.1
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_110	-8.2
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_111	-7.5
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_112	-8.1
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_113	-9.6
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_114	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_115	-9.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_116	-9.6
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_117	-10.1
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_118	-10.6
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_119	-8.5
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_12	-9.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_120	-8.9
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_121	-8.2
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_122	-8.5
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_123	-8.7
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_124	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_125	-7.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_126	-8.2
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_127	-8.0
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_128	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_129	-9.1
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_13	-9.8
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_130	-9.2
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_131	-8.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_132	-9.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_133	-8.7
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_134	-8.3
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_135	-8.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_136	-7.3
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_137	-10.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_138	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_139	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_14	-9.2
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_140	-1.4
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_141	-9.7
4twp	4twp_protein_Repair_1	2v7a_ligand_similar_142	-9.6
