4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_1	-8.0
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_10	-7.6
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_100	-6.9
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_101	-8.9
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_102	-7.8
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_104	-9.6
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_105	-9.5
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_106	-9.7
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_107	-8.1
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_108	-8.7
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_109	-8.1
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_11	-7.6
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_110	-8.8
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_111	-9.1
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_112	-9.9
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_113	-7.8
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_114	-9.1
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_115	-8.2
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_116	-8.3
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_117	-7.3
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_118	-7.6
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_119	-8.5
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_12	-8.4
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_120	-8.4
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_121	-9.8
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_122	-8.6
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_123	-8.1
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_124	-8.6
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_125	-7.7
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_126	-7.5
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_127	-7.2
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_128	-9.3
4wiv	4wiv_protein_Repair_1	3p5o_ligand_similar_129	-8.8
