4jia	4jia_protein_Repair_1	4e6q_ligand_similar_1	-8.5
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_10	-8.0
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_100	-8.5
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_101	-7.4
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_102	-7.8
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_103	-8.2
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_104	-8.2
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_105	-8.5
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_106	-7.4
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_107	-9.7
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_108	-10.5
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_109	-9.0
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_11	-8.4
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_110	-8.0
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_111	-7.6
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_112	-7.5
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_113	-8.7
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_114	-8.2
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_115	-7.3
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_116	-6.8
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_117	-7.3
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_118	-7.4
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_119	-7.5
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_12	-7.0
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_120	-9.0
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_121	-8.5
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_122	-8.8
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_123	-8.5
4jia	4jia_protein_Repair_1	4e6q_ligand_similar_124	-8.8
