1owh	1owh_protein_Repair_1	1c5z_ligand_similar_1	-5.2
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_11	-6.8
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_12	-6.3
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_13	-6.5
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_14	-6.7
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_15	-5.4
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_16	-6.0
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_17	-4.7
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_18	-6.3
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_19	-5.6
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_2	-5.2
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_20	-5.6
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_21	-5.6
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_22	-5.0
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_23	-6.8
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_24	-7.6
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_25	-4.9
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_26	-5.1
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_27	-5.3
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_28	-5.2
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_29	-4.2
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_3	-6.4
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_32	-4.9
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_33	-5.1
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_4	-5.9
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_5	-4.7
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_6	-4.5
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_7	-4.2
1owh	1owh_protein_Repair_1	1c5z_ligand_similar_9	-6.2
1owh	1owh_protein_Repair_1	1o5b_ligand_similar_1	-5.6
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1	-8.1
1owh	1owh_protein_Repair_1	1owh_ligand_similar_100	-6.1
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1000	-7.2
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1001	-6.9
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1002	-5.1
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1003	-5.3
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1004	-7.6
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1005	-5.7
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1006	-6.5
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1007	-7.6
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1008	-7.2
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1009	-7.5
1owh	1owh_protein_Repair_1	1owh_ligand_similar_101	-6.1
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1010	-6.9
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1011	-6.6
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1012	-6.9
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1013	-6.1
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1014	-7.0
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1015	-6.7
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1016	-5.4
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1017	-6.4
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1018	-7.8
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1019	-7.7
1owh	1owh_protein_Repair_1	1owh_ligand_similar_102	-6.3
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1020	-6.9
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1021	-7.1
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1022	-6.2
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1023	-5.8
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1024	-6.1
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1025	-6.6
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1026	-7.2
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1027	-6.9
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1028	-6.9
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1029	-8.4
1owh	1owh_protein_Repair_1	1owh_ligand_similar_103	-6.3
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1030	-6.6
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1031	-7.7
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1032	-6.8
1owh	1owh_protein_Repair_1	1owh_ligand_similar_1033	-6.0
