pdb,ligand_file,chembl_id,tanimoto_index
4crc,4x6p_ligand_similar_101,CHEMBL4083769,0.606498
4crc,4ty7_ligand_similar_21,CHEMBL3398627,0.781553
4crc,4ty7_ligand_similar_20,CHEMBL3398628,0.78607
4crc,4ty7_ligand_similar_29,CHEMBL3398629,0.745283
4crc,4cr9_ligand_similar_31,CHEMBL536691,0.698113
4crc,4cra_ligand_similar_179,CHEMBL3915715,0.602484
4crc,4ty7_ligand_similar_11,CHEMBL3398623,0.842932
4crc,4cra_ligand_similar_114,CHEMBL2418649,0.614458
4crc,4cra_ligand_similar_82,CHEMBL475645,0.623188
4crc,4cr9_ligand_similar_166,CHEMBL3133271,0.611111
4crc,4cra_ligand_similar_169,CHEMBL2418645,0.60355
4crc,4cr9_ligand_similar_81,CHEMBL1730862,0.647059
4crc,4x6p_ligand_similar_44,CHEMBL4101766,0.634981
4crc,4cr9_ligand_similar_136,CHEMBL4084782,0.622642
4crc,4ty7_ligand_similar_78,CHEMBL500254,0.633803
4crc,4x6p_ligand_similar_53,CHEMBL4059590,0.634981
4crc,4cr9_ligand_similar_129,CHEMBL2008700,0.625
4crc,4cra_ligand_similar_15,CHEMBL33537,0.618056
4crc,4cr9_ligand_similar_198,CHEMBL3736594,0.602941
4crc,4x6p_ligand_similar_94,CHEMBL3699183,0.611511
4crc,4cra_ligand_similar_83,CHEMBL237924,0.622517
4crc,4cra_ligand_similar_33,CHEMBL3963611,0.636364
4crc,4cr9_ligand_similar_19,CHEMBL1322524,0.727273
4crc,4cra_ligand_similar_120,CHEMBL556504,0.612245
4crc,4cr9_ligand_similar_92,CHEMBL1887130,0.64
4crc,4cr9_ligand_similar_113,CHEMBL1966945,0.62963
4crc,4cr9_ligand_similar_29,CHEMBL357248,0.709091
4crc,4cr9_ligand_similar_173,CHEMBL1456043,0.608696
4crc,4cr9_ligand_similar_42,CHEMBL528924,0.690909
4crc,4x6p_ligand_similar_87,CHEMBL4063746,0.619926
4crc,4cr9_ligand_similar_141,CHEMBL59925,0.622642
4crc,4cr9_ligand_similar_32,CHEMBL524551,0.698113
4crc,4cr9_ligand_similar_62,CHEMBL58604,0.672131
4crc,4crc_ligand_similar_68,CHEMBL4097304,0.638211
4crc,4cra_ligand_similar_93,CHEMBL1271056,0.62
4crc,4ty7_ligand_similar_48,CHEMBL3355678,0.679144
4crc,4x6p_ligand_similar_82,CHEMBL3676157,0.620818
4crc,4cra_ligand_similar_116,CHEMBL3963941,0.613924
4crc,4ty7_ligand_similar_28,CHEMBL3355680,0.751323
4crc,4crc_ligand_similar_57,CHEMBL4082288,0.656652
4crc,4ty7_ligand_similar_84,CHEMBL377069,0.630769
4crc,4ty7_ligand_similar_16,CHEMBL3355684,0.828125
4crc,4ty7_ligand_similar_8,CHEMBL3355682,0.893258
4crc,4cra_ligand_similar_76,CHEMBL3478394,0.62585
4crc,4ty7_ligand_similar_52,CHEMBL3355668,0.677249
4crc,4cra_ligand_similar_121,CHEMBL305615,0.612245
4crc,4cra_ligand_similar_105,CHEMBL1271161,0.616438
4crc,4x6p_ligand_similar_34,CHEMBL3676166,0.646048
4crc,4cra_ligand_similar_84,CHEMBL1271162,0.622378
4crc,4x6p_ligand_similar_56,CHEMBL3676167,0.634981
4crc,4cr9_ligand_similar_131,CHEMBL195661,0.625
4crc,4cr9_ligand_similar_194,CHEMBL1876130,0.507246
4crc,4x6p_ligand_similar_7,CHEMBL3676160,0.737903
4crc,4cr9_ligand_similar_30,CHEMBL4060123,0.702128
4crc,4cr9_ligand_similar_37,CHEMBL62083,0.697674
4crc,4crc_ligand_similar_16,CHEMBL3752735,0.840206
4crc,4ty7_ligand_similar_99,CHEMBL1259046,0.614973
4crc,4cr9_ligand_similar_58,CHEMBL148316,0.673469
4crc,4ty7_ligand_similar_65,CHEMBL3355673,0.659686
4crc,4ty7_ligand_similar_79,CHEMBL501319,0.633803
4crc,4cr9_ligand_similar_18,CHEMBL1794242,0.727273
4crc,4ty7_ligand_similar_59,CHEMBL3355670,0.666667
4crc,4ty7_ligand_similar_72,CHEMBL3355676,0.651282
4crc,4cra_ligand_similar_45,CHEMBL32895,0.604167
4crc,4ty7_ligand_similar_40,CHEMBL3355674,0.693989
4crc,4x6p_ligand_similar_100,CHEMBL4097522,0.606498
4crc,4cra_ligand_similar_67,CHEMBL449131,0.627586
4crc,4cra_ligand_similar_106,CHEMBL428231,0.616438
4crc,4cr9_ligand_similar_128,CHEMBL2009607,0.625
4crc,4crc_ligand_similar_42,CHEMBL4075619,0.681416
4crc,4cra_ligand_similar_65,CHEMBL234817,0.628049
4crc,4cra_ligand_similar_13,CHEMBL3613648,0.656051
4crc,4ty7_ligand_similar_115,CHEMBL3809599,0.601093
4crc,4cr9_ligand_similar_82,CHEMBL1380868,0.647059
4crc,4cr9_ligand_similar_178,CHEMBL117847,0.607143
4crc,4x6p_ligand_similar_36,CHEMBL4072590,0.641026
4crc,4ty7_ligand_similar_66,CHEMBL3355666,0.659686
4crc,4ty7_ligand_similar_89,CHEMBL2448566,0.626316
4crc,4ty7_ligand_similar_51,CHEMBL3355665,0.677419
4crc,4ty7_ligand_similar_37,CHEMBL3355664,0.707865
4crc,4crc_ligand_similar_35,CHEMBL4074535,0.693694
4crc,4x6p_ligand_similar_104,CHEMBL3699169,0.605735
4crc,4x6p_ligand_similar_115,CHEMBL3699162,0.601399
4crc,4cra_ligand_similar_70,CHEMBL325662,0.627451
4crc,4cr9_ligand_similar_78,CHEMBL1702084,0.652174
4crc,4x6p_ligand_similar_30,CHEMBL3699163,0.652344
4crc,4x6p_ligand_similar_21,CHEMBL4086754,0.677043
4crc,4crc_ligand_similar_49,CHEMBL4100305,0.674009
4crc,4cr9_ligand_similar_76,CHEMBL1867323,0.653061
